ID,Tipo de Processo,Tipo de Atendimento,Status,Tempo de Início (dias),Tempo de Atualização (dias),Status Contrato,Status Procuração,Status Petição Inicial,Status Documento Complementar,Tempo de Resposta (dias)
81,Penal,Presencial,Concluído,381,34,Pendente,Completo,Completo,Pendente,75
82,Ação Cível,Presencial,Em Andamento,44,13,Completo,Pendente,Pendente,Completo,63
83,Ação Cível,Online,Concluído,148,50,Pendente,Completo,Pendente,Pendente,46
84,Ação Trabalhista,Presencial,Em Andamento,152,19,Completo,Completo,Completo,Completo,49
85,Ação Cível,Online,Concluído,189,24,Pendente,Completo,Completo,Completo,81
86,Ação Trabalhista,Presencial,Em Andamento,331,29,Completo,Completo,Completo,Completo,99
87,Ação Cível,Presencial,Concluído,274,5,Pendente,Pendente,Completo,Completo,53
88,Penal,Online,Aguardando,379,19,Completo,Pendente,Pendente,Pendente,89
89,Ação Trabalhista,Presencial,Concluído,328,33,Completo,Pendente,Pendente,Pendente,43
90,Ação Trabalhista,Online,Aguardando,370,49,Completo,Pendente,Completo,Completo,69
91,Penal,Online,Concluído,91,58,Completo,Pendente,Pendente,Completo,54
92,Ação Cível,Presencial,Aguardando,126,57,Completo,Pendente,Completo,Completo,37
93,Ação Cível,Presencial,Aguardando,319,3,Completo,Pendente,Completo,Completo,36
94,Ação Trabalhista,Presencial,Concluído,335,28,Completo,Pendente,Pendente,Completo,94
95,Penal,Presencial,Concluído,145,23,Completo,Completo,Completo,Pendente,53
96,Penal,Online,Aguardando,213,17,Completo,Completo,Completo,Pendente,83
97,Ação Trabalhista,Presencial,Concluído,139,60,Pendente,Pendente,Completo,Completo,91
98,Ação Cível,Online,Em Andamento,328,9,Completo,Completo,Completo,Pendente,54
99,Ação Trabalhista,Presencial,Em Andamento,92,20,Pendente,Completo,Completo,Completo,78
100,Ação Cível,Presencial,Concluído,66,56,Completo,Pendente,Pendente,Pendente,33
